
============================================================
Phase 1: llama / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 4.6/sec | ETA: 19.2m
  Phase1: 100/5400 (1.9%) | 5.2/sec | ETA: 16.9m
  Phase1: 150/5400 (2.8%) | 5.2/sec | ETA: 17.0m
  Phase1: 200/5400 (3.7%) | 5.1/sec | ETA: 17.2m
  Phase1: 250/5400 (4.6%) | 5.3/sec | ETA: 16.3m
  Phase1: 300/5400 (5.6%) | 5.3/sec | ETA: 16.0m
  Phase1: 350/5400 (6.5%) | 5.3/sec | ETA: 15.8m
  Phase1: 400/5400 (7.4%) | 5.1/sec | ETA: 16.4m
  Phase1: 450/5400 (8.3%) | 5.2/sec | ETA: 16.0m
  Phase1: 500/5400 (9.3%) | 5.2/sec | ETA: 15.6m
  Phase1: 550/5400 (10.2%) | 5.2/sec | ETA: 15.5m
  Phase1: 600/5400 (11.1%) | 5.4/sec | ETA: 14.9m
  Phase1: 650/5400 (12.0%) | 5.6/sec | ETA: 14.2m
  Phase1: 700/5400 (13.0%) | 5.7/sec | ETA: 13.8m
  Phase1: 750/5400 (13.9%) | 5.8/sec | ETA: 13.4m
  Phase1: 800/5400 (14.8%) | 5.9/sec | ETA: 12.9m
  Phase1: 850/5400 (15.7%) | 5.9/sec | ETA: 13.0m
  Phase1: 900/5400 (16.7%) | 6.0/sec | ETA: 12.6m
  Phase1: 950/5400 (17.6%) | 5.8/sec | ETA: 12.8m
  Phase1: 1000/5400 (18.5%) | 5.6/sec | ETA: 13.0m
  Phase1: 1050/5400 (19.4%) | 5.5/sec | ETA: 13.2m
  Phase1: 1100/5400 (20.4%) | 5.5/sec | ETA: 13.1m
  Phase1: 1150/5400 (21.3%) | 5.3/sec | ETA: 13.4m
  Phase1: 1200/5400 (22.2%) | 5.1/sec | ETA: 13.6m
  Phase1: 1250/5400 (23.1%) | 5.1/sec | ETA: 13.5m
  Phase1: 1300/5400 (24.1%) | 5.2/sec | ETA: 13.2m
  Phase1: 1350/5400 (25.0%) | 5.1/sec | ETA: 13.2m
  Phase1: 1400/5400 (25.9%) | 5.0/sec | ETA: 13.2m
  Phase1: 1450/5400 (26.9%) | 5.0/sec | ETA: 13.1m
  Phase1: 1500/5400 (27.8%) | 5.1/sec | ETA: 12.9m
  Phase1: 1550/5400 (28.7%) | 5.1/sec | ETA: 12.6m
  Phase1: 1600/5400 (29.6%) | 5.1/sec | ETA: 12.3m
  Phase1: 1650/5400 (30.6%) | 5.2/sec | ETA: 12.1m
  Phase1: 1700/5400 (31.5%) | 5.2/sec | ETA: 11.8m
  Phase1: 1750/5400 (32.4%) | 5.2/sec | ETA: 11.7m
  Phase1: 1800/5400 (33.3%) | 5.2/sec | ETA: 11.5m
  Phase1: 1850/5400 (34.3%) | 5.2/sec | ETA: 11.3m
  Phase1: 1900/5400 (35.2%) | 5.2/sec | ETA: 11.2m
  Phase1: 1950/5400 (36.1%) | 5.2/sec | ETA: 11.1m
  Phase1: 2000/5400 (37.0%) | 5.2/sec | ETA: 11.0m
  Phase1: 2050/5400 (38.0%) | 5.2/sec | ETA: 10.7m
  Phase1: 2100/5400 (38.9%) | 5.2/sec | ETA: 10.6m
  Phase1: 2150/5400 (39.8%) | 5.2/sec | ETA: 10.5m
  Phase1: 2200/5400 (40.7%) | 5.2/sec | ETA: 10.2m
  Phase1: 2250/5400 (41.7%) | 5.2/sec | ETA: 10.0m
  Phase1: 2300/5400 (42.6%) | 5.2/sec | ETA: 9.9m
  Phase1: 2350/5400 (43.5%) | 5.3/sec | ETA: 9.7m
  Phase1: 2400/5400 (44.4%) | 5.3/sec | ETA: 9.5m
  Phase1: 2450/5400 (45.4%) | 5.3/sec | ETA: 9.3m
  Phase1: 2500/5400 (46.3%) | 5.3/sec | ETA: 9.1m
  Phase1: 2550/5400 (47.2%) | 5.3/sec | ETA: 8.9m
  Phase1: 2600/5400 (48.1%) | 5.4/sec | ETA: 8.7m
  Phase1: 2650/5400 (49.1%) | 5.4/sec | ETA: 8.5m
  Phase1: 2700/5400 (50.0%) | 5.4/sec | ETA: 8.3m
  Phase1: 2750/5400 (50.9%) | 5.4/sec | ETA: 8.2m
  Phase1: 2800/5400 (51.9%) | 5.4/sec | ETA: 8.0m
